"fips","year","med_rent_2br"
"04007","2011",954
"04007","2012",834
"04007","2013",823
"04007","2014",796
"04007","2015",930
"04007","2016",880
"04007","2017",849
"04007","2018",916
"04009","2007",606
"04009","2008",665
"04009","2009",686
"04009","2010",725
"04009","2011",748
"04009","2012",656
"04009","2013",679
"04009","2014",669
"04009","2015",803
"04009","2016",804
"04009","2017",781
"04009","2018",831
"04011","2007",657
"04011","2008",721
"04011","2009",744
"04011","2010",785
"04011","2011",809
"04011","2012",838
"04011","2013",815
"04011","2014",637
"04011","2015",723
"04011","2016",705
"04011","2017",681
"04011","2018",722
"04012","2007",639
"04012","2008",702
"04012","2009",724
"04012","2010",764
"04012","2011",787
"04012","2012",758
"04012","2013",746
"04012","2014",701
"04012","2015",797
"04012","2016",748
"04012","2017",750
"04012","2018",790
"04013","2007",782
"04013","2008",862
"04013","2009",923
"04013","2010",967
"04013","2011",984
"04013","2012",870
"04013","2013",925
"04013","2014",957
"04013","2015",966
"04013","2016",974
"04013","2017",1008
"04013","2018",1082
"04015","2007",719
"04015","2008",771
"04015","2009",795
"04015","2010",840
"04015","2011",866
"04015","2012",815
"04015","2013",821
"04015","2014",804
"04015","2015",797
"04015","2016",793
"04015","2017",806
"04015","2018",839
"04017","2007",653
"04017","2008",716
"04017","2009",738
"04017","2010",780
"04017","2011",804
"04017","2012",726
"04017","2013",728
"04017","2014",710
"04017","2015",782
"04017","2016",836
"04017","2017",806
"04017","2018",777
"04019","2007",772
"04019","2008",769
"04019","2009",797
"04019","2010",875
"04019","2011",877
"04019","2012",860
"04019","2013",876
"04019","2014",852
"04019","2015",877
"04019","2016",916
"04019","2017",922
"04019","2018",907
"04021","2007",782
"04021","2008",862
"04021","2009",923
"04021","2010",967
"04021","2011",984
"04021","2012",870
"04021","2013",925
"04021","2014",957
"04021","2015",966
"04021","2016",974
"04021","2017",1008
"04021","2018",1082
"04023","2007",674
"04023","2008",739
"04023","2009",762
"04023","2010",805
"04023","2011",830
"04023","2012",686
"04023","2013",708
"04023","2014",700
"04023","2015",804
"04023","2016",744
"04023","2017",719
"04023","2018",760
"04025","2007",791
"04025","2008",867
"04025","2009",894
"04025","2010",944
"04025","2011",973
"04025","2012",843
"04025","2013",875
"04025","2014",836
"04025","2015",847
"04025","2016",897
"04025","2017",958
"04025","2018",945
"04027","2007",733
"04027","2008",783
"04027","2009",807
"04027","2010",853
"04027","2011",879
"04027","2012",795
"04027","2013",844
"04027","2014",873
"04027","2015",913
"04027","2016",868
"04027","2017",940
"04027","2018",865
"05001","2007",524
"05001","2008",566
"05001","2009",564
"05001","2010",567
"05001","2011",591
"05001","2012",588
"05001","2013",644
"05001","2014",630
"05001","2015",627
"05001","2016",669
"05001","2017",656
"05001","2018",683
"05003","2007",539
"05003","2008",581
"05003","2009",580
"05003","2010",583
"05003","2011",607
"05003","2012",516
"05003","2013",552
"05003","2014",561
"05003","2015",584
"05003","2016",632
"05003","2017",616
"05003","2018",643
"05005","2007",546
"05005","2008",590
"05005","2009",588
"05005","2010",592
"05005","2011",616
"05005","2012",601
"05005","2013",642
"05005","2014",637
"05005","2015",653
"05005","2016",675
"05005","2017",695
"05005","2018",731
"05007","2007",614
"05007","2008",672
"05007","2009",695
"05007","2010",699
"05007","2011",677
"05007","2012",679
"05007","2013",704
"05007","2014",733
"05007","2015",764
"05007","2016",752
"05007","2017",799
"05007","2018",773
"05009","2007",514
"05009","2008",555
"05009","2009",553
"05009","2010",556
"05009","2011",579
"05009","2012",560
"05009","2013",618
"05009","2014",587
"05009","2015",634
"05009","2016",654
"05009","2017",656
"05009","2018",654
"05011","2007",489
"05011","2008",527
"05011","2009",525
"05011","2010",528
"05011","2011",550
"05011","2012",545
"05011","2013",627
"05011","2014",565
"05011","2015",587
"05011","2016",740
"05011","2017",722
"05011","2018",716
"05013","2007",494
"05013","2008",531
"05013","2009",530
"05013","2010",533
"05013","2011",555
"05013","2012",516
"05013","2013",597
"05013","2014",561
"05013","2015",643
"05013","2016",645
"05013","2017",642
"05013","2018",669
"05015","2007",547
"05015","2008",590
"05015","2009",588
"05015","2010",592
"05015","2011",616
"05015","2012",579
"05015","2013",679
"05015","2014",682
"05015","2015",649
"05015","2016",689
"05015","2017",699
"05015","2018",712
"05017","2007",489
"05017","2008",527
"05017","2009",525
"05017","2010",528
"05017","2011",550
"05017","2012",516
"05017","2013",487
"05017","2014",561
"05017","2015",584
"05017","2016",617
"05017","2017",611
"05017","2018",633
"05019","2007",524
"05019","2008",568
"05019","2009",566
"05019","2010",569
"05019","2011",593
"05019","2012",596
"05019","2013",656
"05019","2014",599
"05019","2015",616
"05019","2016",648
"05019","2017",653
"05019","2018",676
"05021","2007",474
"05021","2008",514
"05021","2009",512
"05021","2010",515
"05021","2011",536
"05021","2012",516
"05021","2013",548
"05021","2014",561
"05021","2015",584
"05021","2016",617
"05021","2017",611
"05021","2018",633
"05023","2007",570
"05023","2008",617
"05023","2009",615
"05023","2010",618
"05023","2011",644
"05023","2012",560
"05023","2013",639
"05023","2014",620
"05023","2015",641
"05023","2016",653
"05023","2017",691
"05023","2018",710
"05025","2007",587
"05025","2008",633
"05025","2009",630
"05025","2010",634
"05025","2011",660
"05025","2012",602
"05025","2013",701
"05025","2014",687
"05025","2015",688
"05025","2016",687
"05025","2017",696
"05025","2018",731
"05027","2007",516
"05027","2008",556
"05027","2009",554
"05027","2010",557
"05027","2011",580
"05027","2012",573
"05027","2013",633
"05027","2014",561
"05027","2015",584
"05027","2016",617
"05027","2017",613
"05027","2018",633
"05029","2007",519
"05029","2008",560
"05029","2009",558
"05029","2010",561
"05029","2011",584
"05029","2012",568
"05029","2013",667
"05029","2014",658
"05029","2015",705
"05029","2016",747
"05029","2017",732
"05029","2018",763
"05031","2007",553
"05031","2008",596
"05031","2009",594
"05031","2010",597
"05031","2011",622
"05031","2012",595
"05031","2013",663
"05031","2014",646
"05031","2015",661
"05031","2016",680
"05031","2017",775
"05031","2018",764
