"year","fips","total_population","land_area","pop_density","pop_65_74","pop_75_84","pop_85_up","black_pop","hispanic_pop","hh_inc","gini3","home_value","poor_renter_units","no_burden_info4","pov_universe","extreme_pov_pop","pov_pop","owner_units","burdened_owners1","burdened_owners2","poor_burdened_renters","renter_units","burdened_renters"
"2007","12103",917437,3277.53554157334,279.91672046357,83904,73208,34212,94116,63787,44292,0.460999995470047,204700,31276,3225,900446,43701,100952,282952,112137,67558,28485,111042,60444
"2007","12105",574746,306.632354512383,1874.38145891023,48332,38960,11526,77864,89507,44348,0.416999995708466,155700,14787,2987,561706,27362,71348,161222,50508,29358,13262,58205,28107
"2007","12107",73821,102.26073094937,721.8900091429,7185,4726,1780,,,32621,0.423000007867813,104300,2771,176,73142,7212,14484,20935,4679,4146,2185,6205,2921
"2007","12109",175446,288.084164499626,609.009524368453,13393,8720,3422,10897,,62677,0.481000006198883,332900,3277,1588,172572,4423,10600,51754,16302,10076,3053,13448,7475
"2007","12111",260939,455.832348785964,572.445112100905,23674,23000,5054,45342,39695,46411,0.409999996423721,214900,4169,599,257180,9014,25946,76386,36581,25530,3939,24515,12918
"2007","12113",147044,144.59653909784,1016.92613749562,10540,5120,1385,7739,5676,50341,0.41499999165535,186300,2727,1224,143088,6273,16681,40699,14267,7890,2695,9970,5218
"2007","12115",372073,650.988392470229,571.550897533116,46111,46507,17985,16564,26217,49735,0.48199999332428,248400,7148,2058,367485,11604,29143,128790,48270,35912,6286,35983,20549
"2007","12117",409509,1328.69539243407,308.203823338178,26039,14681,5526,41821,61672,56011,0.456000000238419,268700,8697,1974,406518,15955,37740,107243,38130,28930,8614,41901,23250
"2007","12119",72246,132.384333539027,545.729226930781,9155,5397,339,6998,,42020,0.38400000333786,166600,2023,791,65878,4404,8544,26961,6004,3880,1017,7695,2740
"2007","12127",500413,453.580905006094,1103.24970579014,46770,40582,15171,48808,51637,42276,0.45100000500679,203500,16015,3173,483375,29755,69927,151461,59193,42976,15234,44236,27820
"2007","13013",65955,406.701501569192,162.170534766956,2971,2285,1054,9092,,50357,0.367000013589859,142700,1573,930,65494,4117,9316,15950,3618,1632,1366,6289,3043
"2007","13015",92834,202.065333239273,459.425664520453,5485,2975,922,8861,,46410,0.426999986171722,155100,3012,37,91275,5449,10938,25185,7748,3380,2781,8813,5138
"2007","13021",154709,618.929322547843,249.962304844656,9832,7637,2292,77638,,35463,0.513999998569489,118400,10574,1021,150127,13851,36660,36216,9668,7958,8792,20292,11960
"2007","13031",66176,97.0220354347757,682.071858247992,2954,1986,687,17442,,34135,0.456999987363815,132500,4522,385,56150,8348,14512,14379,3004,2122,4448,9221,5774
"2007","13045",111954,224.386851383423,498.932978067852,6617,3666,1151,,,41899,0.432000011205673,138800,4603,1228,108941,10051,19937,28030,9567,6528,3993,11833,5581
"2007","13051",248469,567.13304878359,438.114126011395,15288,10986,4089,100520,7585,45647,0.472000002861023,175400,12350,2134,241445,15617,37647,58933,19563,13228,11140,36458,18873
"2007","13057",204363,482.354576204126,423.677954106351,8846,4642,1270,11644,,60786,0.400999993085861,204400,3022,539,203480,3988,11346,60309,22405,13834,2984,12999,6460
